,route_id,airline,airline ID, source airport, source airport id, destination apirport, destination airport id, codeshare, stops, equipment,source_airport_icao,source_airport_name,source_airport_city,source_airport_country,source_airport_elevation,source_airport_lat,source_airport_lon,destination_airport_icao,destination_airport_name,destination_airport_city,destination_airport_country,destination_airport_elevation,destination_airport_lat,destination_airport_lon
0,AAX-POJ,AD,13983,AAX,7395,POJ,8237,,0,AT4,SBAX,Araxa Airport,Araxa,BR,3276.0,-19.5631999969,-46.9603996277,SNPD,Patos de Minas Airport,Patos De Minas,BR,2793.0,-18.6728000641,-46.4911994934
1,AFL-CGB,AD,13983,AFL,2524,CGB,2548,,0,E90,SBAT,Alta Floresta Airport,Alta Floresta,BR,948.0,-9.8663892746,-56.1049995422,SBCY,Marechal Rondon Airport,Cuiaba,BR,617.0,-15.6528997421,-56.1166992188
2,AJU-BSB,O6,3764,AJU,2522,BSB,2531,,0,318,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBBR,Presidente Juscelino Kubistschek International Airport,Brasilia,BR,3497.0,-15.8691673279,-47.9208335876
3,AJU-GIG,G3,1790,AJU,2522,GIG,2560,,0,738 73G,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBGL,Galeao - Antonio Carlos Jobim International Airport,Rio De Janeiro,BR,28.0,-22.8099994659,-43.2505569458
4,AJU-GRU,G3,1790,AJU,2522,GRU,2564,,0,73G 738,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBGR,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,BR,2459.0,-23.4355564117,-46.4730567932
5,AJU-MCZ,AD,13983,AJU,2522,MCZ,2590,,0,E95 AT7,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBMO,Zumbi dos Palmares Airport,Maceio,BR,387.0,-9.5108098984,-35.7916984558
6,AJU-REC,AD,13983,AJU,2522,REC,2610,,0,AT7,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBRF,Guararapes - Gilberto Freyre International Airport,Recife,BR,33.0,-8.1264896393,-34.9235992432
7,AJU-SDU,JJ,4867,AJU,2522,SDU,2612,,0,319,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBRJ,Santos Dumont Airport,Rio De Janeiro,BR,11.0,-22.9104995728,-43.1631011963
8,AJU-SSA,AD,13983,AJU,2522,SSA,2621,,0,AT7,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBSV,Deputado Luiz Eduardo Magalhaes International Airport,Salvador,BR,64.0,-12.9086112976,-38.3224983215
9,AJU-VCP,AD,13983,AJU,2522,VCP,2578,,0,E95 E90,SBAR,Santa Maria Airport,Aracaju,BR,23.0,-10.984000206,-37.0703010559,SBKP,Viracopos International Airport,Campinas,BR,2170.0,-23.0074005127,-47.1344985962
